5	2	0.0807
5	3	7e-04
5	4	0.0181
5	16	0.0059
6	1	0.0023
7	1	0.0022
8	6	0.0018
8	8	0.0013
8	18	0.0308
9	2	0.0161
9	4	0.1209
10	1	2e-04
10	2	1.2164
10	3	0.0962
10	4	0.0242
10	5	0.1558
10	6	0.2575
10	8	0.0346
10	15	0.035
11	2	0.0226
11	3	7e-04
11	4	0.0242
11	5	0.0141
11	6	0.0184
11	7	0.0613
11	12	0.0132
11	14	0.0158
12	1	2e-04
12	2	0.0726
12	3	7e-04
12	4	0.004
12	6	0.0184
12	7	0.0438
13	5	0.0234
13	11	0.036
13	14	0.0205
13	16	0.0354
13	18	0.0616
14	2	0.0065
14	14	5e-04
16	4	0.0544
16	9	0.0606
16	14	0.0158
16	16	0.0177
17	1	1e-04
17	15	0.0037
18	4	0.0081
18	5	0.0445
18	11	0.0948
18	12	0.0903
18	14	0.0026
18	16	0.0413
18	18	0.4931
18	20	0.1083
19	2	0.0081
19	3	7e-04
19	4	0.0403
19	5	0.438
19	6	0.2189
19	8	0.013
19	9	3.0546
19	11	0.0876
19	12	0.3913
19	13	0.0959
19	14	0.0158
19	17	0.1988
19	19	0.3836
20	2	0.0774
20	4	0.006
20	6	0.0552
20	8	0.0076
20	9	0.0606
20	14	0.0053
20	18	0.0863
21	1	6e-04
21	4	0.004
22	5	0.0234
22	6	0.0184
22	8	0.0081
22	10	0.0443
22	14	0.0053
22	17	0.0828
22	19	0.0957
23	2	0.0081
23	3	7e-04
23	4	0.004
23	5	0.0386
23	6	0.4231
23	7	0.0438
23	8	0.0691
23	9	1.1514
23	11	0.096
23	14	0.0216
23	15	0.0029
23	16	0.0354
23	17	0.4208
23	18	0.339
23	20	0.007
23	23	0.7123
24	2	0.0645
24	4	0.0024
24	5	0.0023
24	6	0.2208
24	7	0.1314
24	11	0.03
24	12	0.1505
24	13	0.0259
24	14	0.0105
24	17	0.0232
24	18	0.1541
24	19	0.9389
24	20	0.5522
24	24	0.135
24	27	6
25	2	0.0048
25	5	0.0023
25	6	0.0975
25	7	0.0263
25	8	0.0122
25	9	0.509
25	10	0.0222
25	11	0.0108
25	12	0.2013
25	13	0.3808
25	14	0.0195
25	15	0.0029
25	17	0.1557
25	18	0.0308
25	19	0.8247
25	22	1.3565
25	24	0.045
27	2	0.0081
27	4	0.0016
27	5	0.1651
27	9	0.4844
27	11	0.4297
27	12	0.0959
27	13	0.6477
27	14	0.0105
27	16	0.1062
27	18	0.4622
27	19	5.264
27	20	1.0066
27	23	1.9589
27	24	0.18
27	26	0.2106
27	27	75
28	2	0.0016
28	5	0.0012
28	6	0.1012
28	9	0.5696
28	10	0.0443
28	11	0.0024
28	12	0.0019
28	13	0.1036
28	14	0.0369
28	17	0.0331
28	18	0.0154
28	19	0.1726
28	20	0.0035
28	22	0.0452
28	24	0.045
29	2	0.0177
29	3	0.0306
29	6	0.2208
29	7	0.1095
29	8	0.0318
29	9	0.606
29	10	0.0443
29	11	0.0024
29	12	0.0414
29	13	0.1321
29	14	0.0758
29	21	0.3248
30	9	0.1212
30	11	0.0036
30	12	0.0056
30	13	0.0259
30	14	0.0053
30	19	0.0383
30	20	0.0035
30	24	0.045
31	1	4e-04
32	5	0.0012
32	6	0.0184
32	7	0.0044
32	9	0.1818
32	10	0.0222
32	11	0.0024
32	12	0.0019
32	13	0.1114
32	14	0.0105
32	17	0.3645
32	19	0.115
32	20	0.0384
32	21	0.1299
32	22	0.0452
32	23	0.089
33	2	0.0081
33	4	0.0016
33	5	0.0281
33	11	0.0576
33	14	0.0737
33	16	0.1062
33	18	0.0832
33	19	1.9756
33	23	1.9589
33	26	0.8424
34	5	0.1206
34	6	0.1692
34	7	0.0175
34	8	0.0473
34	9	4.9576
34	10	0.0443
34	11	0.0096
34	12	0.1053
34	13	0.6788
34	14	0.0105
34	17	1.2159
34	18	0.0154
34	19	1.1497
34	20	0.1083
34	21	0.3573
34	22	0.2577
34	23	0.089
34	24	0.045
35	12	0.1016
35	14	0.0179
35	22	0.0497
36	11	0.0336
36	12	0.0075
36	14	0.0105
36	16	0.0118
36	18	0.3236
36	20	0.0105
36	27	90
36	36	45.448
37	13	0.0026
37	15	7e-04
37	17	0.0331
37	19	0.0384
37	20	0.0105
37	21	0.0049
37	22	0.0045
37	24	0.135
37	25	0.054
37	28	0.0198
37	29	0.1012
37	30	0.0036
37	32	0.0107
37	34	0.2413
37	35	0.1879
38	8	0.0196
38	9	0.3637
38	12	0.126
38	13	0.386
38	14	0.1153
38	15	7e-04
38	16	0.0118
38	17	0.2054
38	18	0.0616
38	19	6.7255
38	20	1.398
38	21	0.8072
38	22	0.737
38	24	43.47
38	25	8.892
38	27	15
38	28	2.7283
38	29	19.0687
38	30	0.4877
38	32	2.2384
38	34	23.8895
38	35	43.036
38	36	102.258
39	11	0.0336
39	14	0.0105
39	16	0.0118
39	18	0.0154
39	23	0.1781
39	24	0.045
39	31	0.2253
39	33	5.89
39	39	177.675
40	18	0.0616
40	27	9
41	16	0.059
41	18	0.3082
41	26	0.5265
41	27	15
42	4	8e-04
42	5	0.0281
42	11	0.1199
42	14	0.0105
42	15	0.0029
42	16	0.0708
42	17	0.1756
42	18	0.0462
42	20	0.1643
42	22	0.7099
42	23	12.4656
42	24	0.135
42	25	0.018
42	28	0.2246
42	29	4.1981
42	31	2.0273
42	32	0.6747
42	33	24.49
42	42	13.05
43	16	0.059
43	17	0.0596
43	18	0.1541
43	26	3.6855
44	22	0.009
44	24	0.045
44	28	0.0264
44	29	0.1517
44	30	0.0089
44	32	0.0536
44	34	1.4478
44	35	0.7517
44	37	0.0057
44	38	1.0903
45	8	0.0097
45	17	0.0033
45	19	1.4193
45	20	0.0839
45	22	1.3067
45	23	0.3562
45	24	0.675
45	25	0.036
45	27	15
45	28	3.6069
45	29	27.0603
45	30	1.2797
45	32	7.7326
45	34	215.7294
45	35	125.1613
45	36	102.258
45	37	0.7053
45	38	135.2028
45	41	65.205
46	35	1.3155
46	37	2.133
46	39	710.7
46	42	91.35
46	43	143.75
46	44	12.24
47	35	17.4775
47	38	408.8794
47	45	1500
48	27	15
48	33	0.31
48	42	52.2
48	40	10.0685
